name,time,beacon,location,rssi,scanner
RSSI,1575248732956000000,0117C55D14E4,V1_32,-96,E43355CA8B96
RSSI,1575248732976000000,0117C55D14E4,V1_32,-82,F1307ECB3B90
RSSI,1575248733015000000,0117C55D14E4,V1_32,-72,E6D9D20DD197
RSSI,1575248733034000000,0117C55D14E4,V1_32,-79,F1307ECB3B90
RSSI,1575248733096000000,0117C55D14E4,V1_32,-68,FB2EE01C18CE
RSSI,1575248733182000000,0117C55D14E4,V1_32,-60,E96AF2C858BA
RSSI,1575248733300000000,0117C55D14E4,V1_32,-65,E96AF2C858BA
RSSI,1575248733368000000,0117C55D14E4,V1_32,-71,EC72840D9AD3
RSSI,1575248733432000000,0117C55D14E4,V1_32,-96,E8FD0B453DC4
RSSI,1575248733545000000,0117C55D14E4,V1_32,-61,E96AF2C858BA
RSSI,1575248733637000000,0117C55D14E4,V1_32,-65,E96AF2C858BA
RSSI,1575248733770000000,0117C55D14E4,V1_32,-66,DF231643E227
RSSI,1575248733775000000,0117C55D14E4,V1_32,-95,F1EDAF28E08A
RSSI,1575248733802000000,0117C55D14E4,V1_32,-75,E13B805C6CB0
RSSI,1575248733807000000,0117C55D14E4,V1_32,-85,DB8B36A69C56
RSSI,1575248733837000000,0117C55D14E4,V1_32,-72,E13B805C6CB0
RSSI,1575248733848000000,0117C55D14E4,V1_32,-68,DF231643E227
RSSI,1575248733942000000,0117C55D14E4,V1_32,-78,FB2EE01C18CE
RSSI,1575248734009000000,0117C55D14E4,V1_32,-69,FB2EE01C18CE
RSSI,1575248734079000000,0117C55D14E4,V1_32,-77,E6D9D20DD197
RSSI,1575248734122000000,0117C55D14E4,V1_32,-75,DD697EA75B68
RSSI,1575248734155000000,0117C55D14E4,V1_32,-79,EC72840D9AD3
RSSI,1575248734210000000,0117C55D14E4,V1_32,-79,F69A86823B96
RSSI,1575248734295000000,0117C55D14E4,V1_32,-69,E6D9D20DD197
RSSI,1575248734335000000,0117C55D14E4,V1_32,-80,F69A86823B96
RSSI,1575248734377000000,0117C55D14E4,V1_32,-68,FB2EE01C18CE
RSSI,1575248734470000000,0117C55D14E4,V1_32,-67,DF231643E227
RSSI,1575248734476000000,0117C55D14E4,V1_32,-77,E13B805C6CB0
RSSI,1575248734482000000,0117C55D14E4,V1_32,-78,E6D9D20DD197
RSSI,1575248734551000000,0117C55D14E4,V1_32,-79,F1307ECB3B90
RSSI,1575248734624000000,0117C55D14E4,V1_32,-66,E6D9D20DD197
RSSI,1575248734634000000,0117C55D14E4,V1_32,-61,E96AF2C858BA
RSSI,1575248734730000000,0117C55D14E4,V1_32,-69,FB2EE01C18CE
RSSI,1575248734730000000,0117C55D14E4,V1_32,-71,DF231643E227
RSSI,1575248734730000000,0117C55D14E4,V1_32,-89,DB8B36A69C56
RSSI,1575248734730000000,0117C55D14E4,V1_32,-85,DD697EA75B68
RSSI,1575248734730000000,0117C55D14E4,V1_32,-80,F69A86823B96
RSSI,1575248734750000000,0117C55D14E4,V1_32,-74,EC72840D9AD3
RSSI,1575248734800000000,0117C55D14E4,V1_32,-79,FB2EE01C18CE
RSSI,1575248734812000000,0117C55D14E4,V1_32,-67,DF231643E227
RSSI,1575248734848000000,0117C55D14E4,V1_32,-79,F1307ECB3B90
RSSI,1575248734939000000,0117C55D14E4,V1_32,-68,E6D9D20DD197
RSSI,1575248735037000000,0117C55D14E4,V1_32,-94,E43355CA8B96
RSSI,1575248735067000000,0117C55D14E4,V1_32,-84,DD697EA75B68
RSSI,1575248735085000000,0117C55D14E4,V1_32,-78,CD4533FFC0E1
RSSI,1575248735085000000,0117C55D14E4,V1_32,-80,FDAE5980F28C
RSSI,1575248735169000000,0117C55D14E4,V1_32,-88,FDAE5980F28C
RSSI,1575248735172000000,0117C55D14E4,V1_32,-70,E96AF2C858BA
RSSI,1575248735176000000,0117C55D14E4,V1_32,-93,C400A2E19293
RSSI,1575248735190000000,0117C55D14E4,V1_32,-68,E6D9D20DD197
RSSI,1575248735203000000,0117C55D14E4,V1_32,-75,DD697EA75B68
RSSI,1575248735248000000,0117C55D14E4,V1_32,-68,FB2EE01C18CE
RSSI,1575248735276000000,0117C55D14E4,V1_32,-88,FDAE5980F28C
RSSI,1575248735300000000,0117C55D14E4,V1_32,-87,DB8B36A69C56
RSSI,1575248735350000000,0117C55D14E4,V1_32,-78,FB2EE01C18CE
RSSI,1575248735367000000,0117C55D14E4,V1_32,-79,F1307ECB3B90
RSSI,1575248735375000000,0117C55D14E4,V1_32,-78,E6D9D20DD197
RSSI,1575248735414000000,0117C55D14E4,V1_32,-65,E96AF2C858BA
RSSI,1575248735524000000,0117C55D14E4,V1_32,-70,E96AF2C858BA
RSSI,1575248735546000000,0117C55D14E4,V1_32,-69,FB2EE01C18CE
RSSI,1575248735717000000,0117C55D14E4,V1_32,-73,E6D9D20DD197
RSSI,1575248735813000000,0117C55D14E4,V1_32,-82,CD4533FFC0E1
RSSI,1575248735829000000,0117C55D14E4,V1_32,-69,E6D9D20DD197
RSSI,1575248735874000000,0117C55D14E4,V1_32,-80,CD4533FFC0E1
RSSI,1575248735938000000,0117C55D14E4,V1_32,-88,DD697EA75B68
RSSI,1575248735950000000,0117C55D14E4,V1_32,-69,E6D9D20DD197
RSSI,1575248735988000000,0117C55D14E4,V1_32,-79,FB2EE01C18CE
RSSI,1575248736030000000,0117C55D14E4,V1_32,-77,E13B805C6CB0
RSSI,1575248736041000000,0117C55D14E4,V1_32,-67,DF231643E227
RSSI,1575248736069000000,0117C55D14E4,V1_32,-65,E96AF2C858BA
RSSI,1575248736072000000,0117C55D14E4,V1_32,-82,CD4533FFC0E1
RSSI,1575248736111000000,0117C55D14E4,V1_32,-72,E6D9D20DD197
RSSI,1575248736129000000,0117C55D14E4,V1_32,-82,CD4533FFC0E1
RSSI,1575248736158000000,0117C55D14E4,V1_32,-70,E96AF2C858BA
RSSI,1575248736217000000,0117C55D14E4,V1_32,-74,EC72840D9AD3
RSSI,1575248736290000000,0117C55D14E4,V1_32,-79,F1307ECB3B90
RSSI,1575248736418000000,0117C55D14E4,V1_32,-80,FDAE5980F28C
RSSI,1575248736424000000,0117C55D14E4,V1_32,-70,E96AF2C858BA
