name,time,beacon,rssi,scanner
SequenceRSSI,1578445043793000000,0117C55D14E4,-71,CD4533FFC0E1
SequenceRSSI,1578445043793000000,0117C55D14E4,-75,E13B805C6CB0
SequenceRSSI,1578445043794000000,0117C55D14E4,-80,CD4533FFC0E1
SequenceRSSI,1578445043794000000,0117C55D14E4,-90,DB8B36A69C56
SequenceRSSI,1578445043856000000,0117C55D14E4,-74,E6D9D20DD197
SequenceRSSI,1578445043856000000,0117C55D14E4,-78,DF231643E227
SequenceRSSI,1578445043883000000,0117C55D14E4,-61,DF231643E227
SequenceRSSI,1578445043942000000,0117C55D14E4,-89,F69A86823B96
SequenceRSSI,1578445044080000000,0117C55D14E4,-62,DF231643E227
SequenceRSSI,1578445044080000000,0117C55D14E4,-87,FB2EE01C18CE
SequenceRSSI,1578445044086000000,0117C55D14E4,-77,F69A86823B96
SequenceRSSI,1578445044114000000,0117C55D14E4,-71,CD4533FFC0E1
SequenceRSSI,1578445044178000000,0117C55D14E4,-73,E6D9D20DD197
SequenceRSSI,1578445044237000000,0117C55D14E4,-72,CD4533FFC0E1
SequenceRSSI,1578445044299000000,0117C55D14E4,-86,FB2EE01C18CE
SequenceRSSI,1578445044346000000,0117C55D14E4,-72,E6D9D20DD197
SequenceRSSI,1578445044413000000,0117C55D14E4,-68,DF231643E227
SequenceRSSI,1578445044443000000,0117C55D14E4,-80,FB2EE01C18CE
SequenceRSSI,1578445044467000000,0117C55D14E4,-66,DF231643E227
SequenceRSSI,1578445044677000000,0117C55D14E4,-75,EC72840D9AD3
SequenceRSSI,1578445044677000000,0117C55D14E4,-95,FB2EE01C18CE
SequenceRSSI,1578445044729000000,0117C55D14E4,-70,E96AF2C858BA
SequenceRSSI,1578445044731000000,0117C55D14E4,-73,E96AF2C858BA
SequenceRSSI,1578445044733000000,0117C55D14E4,-68,E96AF2C858BA
SequenceRSSI,1578445044804000000,0117C55D14E4,-76,E6D9D20DD197
SequenceRSSI,1578445044886000000,0117C55D14E4,-69,E96AF2C858BA
SequenceRSSI,1578445044890000000,0117C55D14E4,-89,E6D9D20DD197
SequenceRSSI,1578445044905000000,0117C55D14E4,-85,F1307ECB3B90
SequenceRSSI,1578445044916000000,0117C55D14E4,-66,DF231643E227
SequenceRSSI,1578445044916000000,0117C55D14E4,-74,E96AF2C858BA
SequenceRSSI,1578445044931000000,0117C55D14E4,-85,F1307ECB3B90
