name,time,beacon,rssi,scanner
SequenceRSSI2,1582075730562000000,0117C55D14E4,-72,DF231643E227
SequenceRSSI2,1582075730653000000,0117C55D14E4,-69,E96AF2C858BA
SequenceRSSI2,1582075730774000000,0117C55D14E4,-84,E13B805C6CB0
SequenceRSSI2,1582075730777000000,0117C55D14E4,-75,E96AF2C858BA
SequenceRSSI2,1582075730856000000,0117C55D14E4,-89,FB2EE01C18CE
SequenceRSSI2,1582075730982000000,0117C55D14E4,-95,F1EDAF28E08A
SequenceRSSI2,1582075730989000000,0117C55D14E4,-65,DF231643E227
SequenceRSSI2,1582075730989000000,0117C55D14E4,-77,E96AF2C858BA
SequenceRSSI2,1582075730989000000,0117C55D14E4,-96,E8FD0B453DC4
SequenceRSSI2,1582075730990000000,0117C55D14E4,-84,FB2EE01C18CE
SequenceRSSI2,1582075731214000000,0117C55D14E4,-96,E8FD0B453DC4
SequenceRSSI2,1582075731275000000,0117C55D14E4,-84,D2B6503554D7
SequenceRSSI2,1582075731475000000,0117C55D14E4,-91,DB8B36A69C56
SequenceRSSI2,1582075731521000000,0117C55D14E4,-81,E13B805C6CB0
SequenceRSSI2,1582075731623000000,0117C55D14E4,-64,E96AF2C858BA
SequenceRSSI2,1582075731630000000,0117C55D14E4,-84,D2B6503554D7
SequenceRSSI2,1582075731660000000,0117C55D14E4,-89,DB8B36A69C56
SequenceRSSI2,1582075732069000000,0117C55D14E4,-76,F1307ECB3B90
SequenceRSSI2,1582075732139000000,0117C55D14E4,-73,E13B805C6CB0
SequenceRSSI2,1582075732436000000,0117C55D14E4,-67,E13B805C6CB0
SequenceRSSI2,1582075732491000000,0117C55D14E4,-75,E13B805C6CB0
SequenceRSSI2,1582075732658000000,0117C55D14E4,-85,DF231643E227
SequenceRSSI2,1582075732700000000,0117C55D14E4,-77,DD697EA75B68
SequenceRSSI2,1582075732738000000,0117C55D14E4,-69,E96AF2C858BA
SequenceRSSI2,1582075732777000000,0117C55D14E4,-73,E13B805C6CB0
SequenceRSSI2,1582075732891000000,0117C55D14E4,-68,E96AF2C858BA
SequenceRSSI2,1582075732915000000,0117C55D14E4,-70,CD4533FFC0E1
SequenceRSSI2,1582075732922000000,0117C55D14E4,-87,DB8B36A69C56
SequenceRSSI2,1582075732972000000,0117C55D14E4,-76,EC72840D9AD3
SequenceRSSI2,1582075733066000000,0117C55D14E4,-72,CD4533FFC0E1
SequenceRSSI2,1582075733066000000,0117C55D14E4,-81,EC72840D9AD3
SequenceRSSI2,1582075733144000000,0117C55D14E4,-68,E96AF2C858BA
SequenceRSSI2,1582075733200000000,0117C55D14E4,-79,F1307ECB3B90
SequenceRSSI2,1582075733204000000,0117C55D14E4,-81,DB8B36A69C56
SequenceRSSI2,1582075733281000000,0117C55D14E4,-71,E96AF2C858BA
SequenceRSSI2,1582075733366000000,0117C55D14E4,-65,E96AF2C858BA
SequenceRSSI2,1582075733577000000,0117C55D14E4,-80,F69A86823B96
SequenceRSSI2,1582075733581000000,0117C55D14E4,-71,E13B805C6CB0
