name,time,beacon,location,rssi,scanner
TestRSSI2,1578636749313000000,0117C55D14E4,T1_1,-74,F69A86823B96
TestRSSI2,1578636749374000000,0117C55D14E4,T1_1,-72,E6D9D20DD197
TestRSSI2,1578636749414000000,0117C55D14E4,T1_1,-73,F1307ECB3B90
TestRSSI2,1578636749542000000,0117C55D14E4,T1_1,-75,E13B805C6CB0
TestRSSI2,1578636749554000000,0117C55D14E4,T1_1,-75,F69A86823B96
TestRSSI2,1578636749594000000,0117C55D14E4,T1_1,-91,E8FD0B453DC4
TestRSSI2,1578636749598000000,0117C55D14E4,T1_1,-68,E13B805C6CB0
TestRSSI2,1578636749604000000,0117C55D14E4,T1_1,-78,E6D9D20DD197
TestRSSI2,1578636749604000000,0117C55D14E4,T1_1,-68,E96AF2C858BA
TestRSSI2,1578636749660000000,0117C55D14E4,T1_1,-69,DF231643E227
TestRSSI2,1578636749741000000,0117C55D14E4,T1_1,-71,F69A86823B96
TestRSSI2,1578636749952000000,0117C55D14E4,T1_1,-67,E13B805C6CB0
TestRSSI2,1578636750213000000,0117C55D14E4,T1_1,-64,E96AF2C858BA
TestRSSI2,1578636750214000000,0117C55D14E4,T1_1,-74,F69A86823B96
TestRSSI2,1578636750234000000,0117C55D14E4,T1_1,-77,DB8B36A69C56
TestRSSI2,1578636750259000000,0117C55D14E4,T1_1,-71,CD4533FFC0E1
TestRSSI2,1578636750316000000,0117C55D14E4,T1_1,-66,DF231643E227
TestRSSI2,1578636750317000000,0117C55D14E4,T1_1,-71,F69A86823B96
TestRSSI2,1578636750403000000,0117C55D14E4,T1_1,-77,CD4533FFC0E1
TestRSSI2,1578636750404000000,0117C55D14E4,T1_1,-69,E96AF2C858BA
TestRSSI2,1578636750422000000,0117C55D14E4,T1_1,-65,DF231643E227
TestRSSI2,1578636750434000000,0117C55D14E4,T1_1,-75,E13B805C6CB0
TestRSSI2,1578636750495000000,0117C55D14E4,T1_1,-73,F69A86823B96
TestRSSI2,1578636750717000000,0117C55D14E4,T1_1,-64,DF231643E227
TestRSSI2,1578636750755000000,0117C55D14E4,T1_1,-68,E96AF2C858BA
TestRSSI2,1578636750880000000,0117C55D14E4,T1_1,-87,DD697EA75B68
TestRSSI2,1578636750889000000,0117C55D14E4,T1_1,-68,DF231643E227
TestRSSI2,1578636750939000000,0117C55D14E4,T1_1,-69,FB2EE01C18CE
TestRSSI2,1578636750952000000,0117C55D14E4,T1_1,-85,FB2EE01C18CE
TestRSSI2,1578636750985000000,0117C55D14E4,T1_1,-72,E6D9D20DD197
