name,time,X,Y
TestSequenceLocation,1579154751613455300,0.63820052,3.7373652
TestSequenceLocation,1579154751730329900,0.627788,3.7439144
TestSequenceLocation,1579154751805468000,0.60756946,3.7827199
TestSequenceLocation,1579154751855783300,0.6090802,3.7810736
TestSequenceLocation,1579154752002294600,0.60421354,3.7921295
TestSequenceLocation,1579154752102124400,0.610339,3.7797785
TestSequenceLocation,1579154752155282000,0.58602023,3.766777
TestSequenceLocation,1579154752305665600,0.57951826,3.7825873
TestSequenceLocation,1579154752356336200,0.59276158,3.7802327
TestSequenceLocation,1579154752457168400,0.58914882,3.7912598
TestSequenceLocation,1579154752655142300,0.60401613,3.818861
TestSequenceLocation,1579154752803449400,0.60834378,3.8296194
TestSequenceLocation,1579154752854628600,0.59760243,3.8274345
TestSequenceLocation,1579154753004246600,0.59817564,3.8479149
TestSequenceLocation,1579154753105622700,0.61008465,3.853142
TestSequenceLocation,1579154753155519200,0.62430912,3.8391545
TestSequenceLocation,1579154753308402800,0.62574273,3.8174405
TestSequenceLocation,1579154753359022500,0.62521017,3.7989841
TestSequenceLocation,1579154753455464200,0.61561042,3.7849908
TestSequenceLocation,1579154753606131900,0.60811532,3.7684274
TestSequenceLocation,1579154753656788700,0.58962911,3.75277
TestSequenceLocation,1579154753810980000,0.58467042,3.7658367
TestSequenceLocation,1579154753860759600,0.5719561,3.7718344
TestSequenceLocation,1579154754004697300,0.58339393,3.7885931
TestSequenceLocation,1579154754101466500,0.56832355,3.7973118
TestSequenceLocation,1579154754156131000,0.56842655,3.7979796
TestSequenceLocation,1579154754306446300,0.57633328,3.7857349
TestSequenceLocation,1579154754358098500,0.59016758,3.7810724
TestSequenceLocation,1579154754455041600,0.59522092,3.7724364
TestSequenceLocation,1579154754604150200,0.61762422,3.7772319
TestSequenceLocation,1579154754655045600,0.62881458,3.771503
TestSequenceLocation,1579154754802210300,0.63481331,3.78976
TestSequenceLocation,1579154754858261700,0.65849364,3.7975359
TestSequenceLocation,1579154755004511300,0.65749741,3.8186657
TestSequenceLocation,1579154755101137000,0.65106505,3.8421898
TestSequenceLocation,1579154755155860700,0.63725793,3.8629682
TestSequenceLocation,1579154755304488400,0.64021611,3.8838806
TestSequenceLocation,1579154755355404100,0.64374459,3.9164944
TestSequenceLocation,1579154755458030000,0.65566844,3.9447463
TestSequenceLocation,1579154755608028300,0.639957,3.9803643
TestSequenceLocation,1579154755661063900,0.648158,3.9725981
TestSequenceLocation,1579154755809367100,0.64520258,3.9669182
TestSequenceLocation,1579154755859144000,0.65267307,3.9507663
TestSequenceLocation,1579154756002029900,0.635817,3.9228339
TestSequenceLocation,1579154756058077400,0.63881105,4.0130877
TestSequenceLocation,1579154756155891900,0.62722528,4.0033078
TestSequenceLocation,1579154756308790300,0.62511307,3.99242
TestSequenceLocation,1579154756359640400,0.63843209,3.9373538
TestSequenceLocation,1579154756455208300,0.65007257,3.9017973
TestSequenceLocation,1579154756607182100,0.65464908,3.8661811
TestSequenceLocation,1579154756657409200,0.6637224,3.8309875
TestSequenceLocation,1579154756801273400,0.65888524,3.8223338
TestSequenceLocation,1579154756859695200,0.64496279,3.8460145
TestSequenceLocation,1579154757001910000,0.66194242,3.8827214
TestSequenceLocation,1579154757108313100,0.68491197,4.0019121
TestSequenceLocation,1579154757156068700,0.7060523,4.0555511
TestSequenceLocation,1579154757302462700,0.72223681,4.0345311
TestSequenceLocation,1579154757356416800,0.70703745,4.0600729
TestSequenceLocation,1579154757457124600,0.70681226,4.0616708
TestSequenceLocation,1579154757608937800,0.70079672,4.0141544
TestSequenceLocation,1579154757661776900,0.70342374,4.0475478
TestSequenceLocation,1579154757806766000,0.69067568,4.1479235
TestSequenceLocation,1579154757858874100,0.69867492,4.1380444
TestSequenceLocation,1579154758002733200,0.68976611,4.1237922
TestSequenceLocation,1579154758105083500,0.69180059,4.154532
TestSequenceLocation,1579154758161396700,0.70913345,4.1453586
TestSequenceLocation,1579154758306621300,0.72433406,4.13996
