name,time,beacon,rssi,scanner
TestSequenceRSSI,1579154755531000000,0117C55D14E4,-80,EC72840D9AD3
TestSequenceRSSI,1579154755563000000,0117C55D14E4,-72,CD4533FFC0E1
TestSequenceRSSI,1579154755633000000,0117C55D14E4,-82,FB2EE01C18CE
TestSequenceRSSI,1579154755742000000,0117C55D14E4,-70,E6D9D20DD197
TestSequenceRSSI,1579154755958000000,0117C55D14E4,-66,DF231643E227
TestSequenceRSSI,1579154756005000000,0117C55D14E4,-71,E13B805C6CB0
TestSequenceRSSI,1579154756051000000,0117C55D14E4,-89,DB8B36A69C56
TestSequenceRSSI,1579154756063000000,0117C55D14E4,-72,E96AF2C858BA
TestSequenceRSSI,1579154756117000000,0117C55D14E4,-85,FB2EE01C18CE
TestSequenceRSSI,1579154756232000000,0117C55D14E4,-76,CD4533FFC0E1
TestSequenceRSSI,1579154756268000000,0117C55D14E4,-74,E6D9D20DD197
TestSequenceRSSI,1579154756374000000,0117C55D14E4,-70,E6D9D20DD197
TestSequenceRSSI,1579154756466000000,0117C55D14E4,-84,FB2EE01C18CE
TestSequenceRSSI,1579154756476000000,0117C55D14E4,-85,E6D9D20DD197
TestSequenceRSSI,1579154756551000000,0117C55D14E4,-75,DD697EA75B68
TestSequenceRSSI,1579154756561000000,0117C55D14E4,-70,CD4533FFC0E1
TestSequenceRSSI,1579154756563000000,0117C55D14E4,-87,FDAE5980F28C
TestSequenceRSSI,1579154756577000000,0117C55D14E4,-68,E96AF2C858BA
TestSequenceRSSI,1579154756605000000,0117C55D14E4,-76,EC72840D9AD3
TestSequenceRSSI,1579154756690000000,0117C55D14E4,-88,FDAE5980F28C
TestSequenceRSSI,1579154756726000000,0117C55D14E4,-81,DF231643E227
TestSequenceRSSI,1579154756759000000,0117C55D14E4,-69,E6D9D20DD197
TestSequenceRSSI,1579154756775000000,0117C55D14E4,-82,FB2EE01C18CE
TestSequenceRSSI,1579154756819000000,0117C55D14E4,-76,F1307ECB3B90
TestSequenceRSSI,1579154756851000000,0117C55D14E4,-68,E96AF2C858BA
TestSequenceRSSI,1579154756906000000,0117C55D14E4,-71,E13B805C6CB0
