name,time,beacon,location,rssi,scanner
TestRSSI,1576203314272000000,0117C55D14E4,T1_1,-75,CD4533FFC0E1
TestRSSI,1576203314362000000,0117C55D14E4,T1_1,-68,E6D9D20DD197
TestRSSI,1576203314368000000,0117C55D14E4,T1_1,-84,FB2EE01C18CE
TestRSSI,1576203314392000000,0117C55D14E4,T1_1,-68,E96AF2C858BA
TestRSSI,1576203314439000000,0117C55D14E4,T1_1,-66,E96AF2C858BA
TestRSSI,1576203314731000000,0117C55D14E4,T1_1,-98,E43355CA8B96
TestRSSI,1576203314742000000,0117C55D14E4,T1_1,-67,E96AF2C858BA
TestRSSI,1576203314756000000,0117C55D14E4,T1_1,-83,F1307ECB3B90
TestRSSI,1576203314797000000,0117C55D14E4,T1_1,-91,C400A2E19293
TestRSSI,1576203314807000000,0117C55D14E4,T1_1,-90,F1307ECB3B90
TestRSSI,1576203314808000000,0117C55D14E4,T1_1,-77,E13B805C6CB0
TestRSSI,1576203314849000000,0117C55D14E4,T1_1,-92,FDAE5980F28C
TestRSSI,1576203314926000000,0117C55D14E4,T1_1,-75,CD4533FFC0E1
TestRSSI,1576203314936000000,0117C55D14E4,T1_1,-65,E96AF2C858BA
TestRSSI,1576203315200000000,0117C55D14E4,T1_1,-85,C400A2E19293
TestRSSI,1576203315200000000,0117C55D14E4,T1_1,-75,F69A86823B96
TestRSSI,1576203315202000000,0117C55D14E4,T1_1,-74,F69A86823B96
TestRSSI,1576203315204000000,0117C55D14E4,T1_1,-73,F69A86823B96
TestRSSI,1576203315205000000,0117C55D14E4,T1_1,-76,E13B805C6CB0
TestRSSI,1576203315205000000,0117C55D14E4,T1_1,-71,F69A86823B96
TestRSSI,1576203315263000000,0117C55D14E4,T1_1,-71,E13B805C6CB0
TestRSSI,1576203315270000000,0117C55D14E4,T1_1,-81,DB8B36A69C56
TestRSSI,1576203315314000000,0117C55D14E4,T1_1,-74,F69A86823B96
TestRSSI,1576203315337000000,0117C55D14E4,T1_1,-87,DB8B36A69C56
TestRSSI,1576203315380000000,0117C55D14E4,T1_1,-91,EC72840D9AD3
